Target Distance: 100, Step Size: 5
207: (x, y) = (0.569634, -16.63)
208: (x, y) = (-4.43037, -16.63)
209: (x, y) = (-7.90366, -13.0333)
210: (x, y) = (-9.61376, -17.7318)
211: (x, y) = (-4.65103, -17.1224)
212: (x, y) = (0.348211, -17.2097)
213: (x, y) = (3.14418, -21.3549)
214: (x, y) = (0.952319, -25.8488)
215: (x, y) = (5.32542, -28.2729)
216: (x, y) = (9.89315, -26.2392)
217: (x, y) = (14.5291, -28.1122)
218: (x, y) = (19.5017, -28.6349)
219: (x, y) = (23.9956, -30.8267)
220: (x, y) = (19.6655, -33.3267)
221: (x, y) = (14.8592, -34.7049)
222: (x, y) = (15.3819, -29.7323)
223: (x, y) = (20.3545, -30.2549)
224: (x, y) = (16.2093, -33.0509)
225: (x, y) = (18.0011, -37.7188)
226: (x, y) = (22.0462, -40.6577)
227: (x, y) = (19.3966, -44.898)
228: (x, y) = (23.2823, -48.0446)
229: (x, y) = (21.4093, -43.4087)
230: (x, y) = (18.129, -39.6351)
231: (x, y) = (14.719, -35.9783)
232: (x, y) = (16.5109, -31.3104)
233: (x, y) = (11.6201, -30.2709)
234: (x, y) = (15.9932, -32.6949)
235: (x, y) = (17.7851, -37.3628)
236: (x, y) = (17.7851, -32.3628)
237: (x, y) = (17.2624, -37.3354)
238: (x, y) = (15.2287, -41.9032)
239: (x, y) = (11.2887, -38.8249)
240: (x, y) = (15.2287, -35.7466)
241: (x, y) = (11.632, -32.2733)
242: (x, y) = (7.34619, -29.6981)
243: (x, y) = (11.3394, -26.689)
244: (x, y) = (14.685, -30.4047)
245: (x, y) = (18.8302, -27.6088)
246: (x, y) = (23.7815, -26.9129)
247: (x, y) = (19.4085, -29.3369)
248: (x, y) = (17.2166, -33.8309)
249: (x, y) = (22.2135, -33.6564)
250: (x, y) = (17.2204, -33.9181)
251: (x, y) = (21.4138, -36.6413)
252: (x, y) = (16.6862, -38.2691)
253: (x, y) = (12.9126, -34.9888)
254: (x, y) = (8.04076, -36.1136)
255: (x, y) = (9.33486, -40.9432)
256: (x, y) = (10.9627, -36.2156)
257: (x, y) = (6.36017, -34.262)
258: (x, y) = (1.57865, -32.8001)
259: (x, y) = (5.81889, -30.1505)
260: (x, y) = (1.93316, -27.0039)
261: (x, y) = (3.96684, -31.5716)
262: (x, y) = (-0.862785, -30.2775)
263: (x, y) = (-5.19291, -32.7775)
264: (x, y) = (-0.698941, -34.9694)
265: (x, y) = (4.2524, -34.2735)
266: (x, y) = (9.10388, -33.0639)
267: (x, y) = (11.2957, -28.57)
268: (x, y) = (11.4702, -33.5669)
269: (x, y) = (8.12458, -29.8512)
270: (x, y) = (9.07862, -24.943)
271: (x, y) = (12.2926, -28.7733)
272: (x, y) = (8.46234, -25.5593)
273: (x, y) = (5.11669, -29.2751)
274: (x, y) = (1.28646, -32.489)
275: (x, y) = (1.11197, -27.492)
276: (x, y) = (-2.36133, -23.8953)
277: (x, y) = (-3.22957, -18.9713)
278: (x, y) = (-0.654376, -23.2571)
279: (x, y) = (4.07322, -21.6293)
280: (x, y) = (8.60476, -23.7424)
281: (x, y) = (13.5926, -24.0912)
282: (x, y) = (9.65252, -27.1695)
283: (x, y) = (4.67991, -26.6468)
284: (x, y) = (1.08321, -23.1735)
285: (x, y) = (4.22982, -19.2878)
286: (x, y) = (8.60291, -21.7119)
287: (x, y) = (4.14788, -23.9818)
288: (x, y) = (5.01612, -19.0578)
289: (x, y) = (1.54283, -15.4611)
290: (x, y) = (-0.24901, -10.7932)
291: (x, y) = (-4.02256, -14.0735)
292: (x, y) = (-1.44737, -18.3593)
293: (x, y) = (-5.68761, -15.7097)
294: (x, y) = (-4.05977, -10.9821)
295: (x, y) = (-3.62399, -15.9631)
296: (x, y) = (-8.19172, -13.9294)
297: (x, y) = (-4.53495, -17.3394)
298: (x, y) = (-8.77519, -19.989)
299: (x, y) = (-6.90215, -15.3531)
300: (x, y) = (-6.81489, -10.3538)
301: (x, y) = (-5.02305, -15.0217)
302: (x, y) = (-6.73315, -19.7202)
303: (x, y) = (-10.0134, -23.4938)
304: (x, y) = (-5.72761, -20.9186)
305: (x, y) = (-7.43771, -16.2201)
306: (x, y) = (-12.2892, -17.4297)
307: (x, y) = (-17.1407, -16.2201)
308: (x, y) = (-16.5313, -11.2574)
309: (x, y) = (-11.5686, -10.648)
310: (x, y) = (-8.8454, -6.45467)
311: (x, y) = (-6.1958, -2.21443)
312: (x, y) = (-1.20798, -1.86564)
313: (x, y) = (-0.772202, -6.84662)
314: (x, y) = (-1.98181, -1.99514)
315: (x, y) = (2.90893, -0.955581)
316: (x, y) = (7.05411, -3.75155)
317: (x, y) = (8.34821, 1.07808)
318: (x, y) = (8.26095, 6.07732)
319: (x, y) = (11.7342, 9.67402)
320: (x, y) = (7.36114, 7.24997)
321: (x, y) = (2.72522, 5.37694)
322: (x, y) = (2.46354, 0.383793)
323: (x, y) = (7.09946, 2.25683)
324: (x, y) = (12.0235, 1.38858)
325: (x, y) = (7.69337, -1.11142)
326: (x, y) = (2.76933, -0.243174)
327: (x, y) = (-1.37585, 2.55279)
328: (x, y) = (2.45437, 5.76673)
329: (x, y) = (7.09029, 7.63976)
330: (x, y) = (7.43907, 12.6276)
331: (x, y) = (4.29247, 16.5133)
332: (x, y) = (-0.688505, 16.0775)
333: (x, y) = (3.87922, 14.0438)
334: (x, y) = (0.73262, 10.1581)
335: (x, y) = (-3.31246, 7.21919)
336: (x, y) = (0.461083, 3.9389)
337: (x, y) = (2.73104, -0.516134)
338: (x, y) = (7.36695, 1.3569)
339: (x, y) = (11.0827, 4.70255)
340: (x, y) = (13.8786, 0.557364)
341: (x, y) = (17.1589, -3.21618)
342: (x, y) = (16.2907, 1.70785)
343: (x, y) = (11.2907, 1.70785)
344: (x, y) = (7.81741, -1.88884)
345: (x, y) = (3.24968, -3.92253)
346: (x, y) = (5.44153, 0.571443)
347: (x, y) = (0.550796, -0.468116)
348: (x, y) = (-3.8223, 1.95593)
349: (x, y) = (-8.35384, 4.06902)
350: (x, y) = (-10.0639, 8.76749)
351: (x, y) = (-5.06394, 8.76749)
352: (x, y) = (-0.0707943, 8.50581)
353: (x, y) = (-1.86263, 3.8379)
354: (x, y) = (-3.15673, -0.991724)
355: (x, y) = (-7.04246, -4.13833)
356: (x, y) = (-7.9107, 0.785712)
357: (x, y) = (-5.79761, 5.31725)
358: (x, y) = (-0.816635, 5.75303)
359: (x, y) = (-4.64686, 8.96697)
360: (x, y) = (-0.873309, 5.68667)
361: (x, y) = (3.11987, 2.6776)
362: (x, y) = (-0.765862, 5.8242)
363: (x, y) = (-4.81095, 8.76313)
364: (x, y) = (-2.31095, 4.433)
365: (x, y) = (-4.5028, -0.0609711)
366: (x, y) = (0.497198, -0.0609711)
367: (x, y) = (-2.7831, 3.71258)
368: (x, y) = (0.225978, 7.70575)
369: (x, y) = (-1.06812, 2.87613)
370: (x, y) = (2.46742, 6.41166)
371: (x, y) = (-0.746522, 2.58144)
372: (x, y) = (-5.24049, 0.389581)
373: (x, y) = (-0.458968, 1.85144)
374: (x, y) = (2.75497, 5.68166)
375: (x, y) = (5.62285, 1.5859)
376: (x, y) = (1.8493, -1.69439)
377: (x, y) = (6.72115, -2.81915)
378: (x, y) = (11.6596, -2.03698)
379: (x, y) = (9.46774, -6.53095)
380: (x, y) = (5.52769, -3.45264)
381: (x, y) = (3.02769, 0.877488)
382: (x, y) = (0.835831, 5.37146)
383: (x, y) = (5.72657, 6.41102)
384: (x, y) = (10.665, 7.19319)
385: (x, y) = (15.5731, 8.14723)
386: (x, y) = (14.4484, 13.0191)
387: (x, y) = (19.176, 11.3912)
388: (x, y) = (20.3856, 16.2427)
389: (x, y) = (25.1132, 14.6149)
390: (x, y) = (30.0759, 14.0055)
391: (x, y) = (29.8142, 9.01239)
392: (x, y) = (32.6102, 4.8672)
393: (x, y) = (37.5729, 5.47655)
394: (x, y) = (40.7195, 9.36228)
395: (x, y) = (38.5277, 13.8562)
396: (x, y) = (36.8998, 9.12865)
397: (x, y) = (38.1094, 4.27717)
398: (x, y) = (36.1558, -0.32535)
399: (x, y) = (31.1626, -0.0636704)
400: (x, y) = (26.1634, 0.0235917)
401: (x, y) = (28.0364, -4.61233)
402: (x, y) = (31.4464, -0.955559)
403: (x, y) = (30.3217, -5.82741)
404: (x, y) = (33.4683, -9.71314)
405: (x, y) = (37.7541, -12.2883)
406: (x, y) = (33.1182, -14.1614)
407: (x, y) = (36.8339, -10.8157)
408: (x, y) = (40.4306, -14.289)
409: (x, y) = (36.1904, -16.9386)
410: (x, y) = (37.5686, -21.7449)
411: (x, y) = (41.9417, -24.169)
412: (x, y) = (37.3739, -26.2026)
413: (x, y) = (41.0307, -22.7926)
414: (x, y) = (36.9349, -25.6605)
415: (x, y) = (37.3707, -20.6796)
416: (x, y) = (38.7489, -25.4859)
417: (x, y) = (42.4646, -28.8315)
418: (x, y) = (44.4183, -24.229)
419: (x, y) = (41.5504, -28.3248)
420: (x, y) = (43.9745, -32.6979)
421: (x, y) = (45.8475, -37.3338)
422: (x, y) = (41.9074, -34.2555)
423: (x, y) = (39.7156, -38.7494)
424: (x, y) = (42.1396, -43.1225)
425: (x, y) = (37.2881, -44.3321)
426: (x, y) = (42.2881, -44.3321)
427: (x, y) = (44.5581, -39.8771)
428: (x, y) = (49.4821, -40.7453)
429: (x, y) = (46.9821, -36.4152)
430: (x, y) = (44.4821, -40.7453)
431: (x, y) = (48.2557, -37.4651)
432: (x, y) = (51.334, -33.525)
433: (x, y) = (52.7959, -38.3065)
434: (x, y) = (55.1432, -42.7213)
435: (x, y) = (52.2043, -46.7663)
436: (x, y) = (50.9947, -51.6178)
437: (x, y) = (55.8665, -50.4931)
438: (x, y) = (51.6263, -47.8435)
439: (x, y) = (52.0621, -42.8625)
440: (x, y) = (51.4527, -37.8998)
441: (x, y) = (54.4618, -41.8929)
442: (x, y) = (57.2578, -37.7478)
443: (x, y) = (59.8329, -42.0336)
444: (x, y) = (56.1172, -45.3792)
445: (x, y) = (56.2045, -50.3785)
446: (x, y) = (55.1649, -55.2692)
447: (x, y) = (50.9247, -52.6196)
448: (x, y) = (47.6444, -56.3932)
449: (x, y) = (51.7402, -59.2611)
450: (x, y) = (56.3427, -57.3074)
451: (x, y) = (51.4345, -56.3534)
452: (x, y) = (50.395, -61.2441)
453: (x, y) = (45.5435, -60.0345)
454: (x, y) = (46.8376, -64.8641)
455: (x, y) = (42.0561, -66.326)
456: (x, y) = (38.9778, -70.266)
457: (x, y) = (40.2719, -75.0957)
458: (x, y) = (39.4036, -80.0197)
459: (x, y) = (39.0548, -75.0319)
460: (x, y) = (42.5904, -71.4963)
461: (x, y) = (47.4811, -70.4568)
462: (x, y) = (43.9456, -66.9212)
463: (x, y) = (48.2757, -69.4212)
464: (x, y) = (50.6998, -73.7943)
465: (x, y) = (52.1616, -69.0128)
466: (x, y) = (53.3712, -64.1613)
467: (x, y) = (55.2443, -59.5254)
468: (x, y) = (58.96, -62.8711)
469: (x, y) = (55.3633, -66.3444)
470: (x, y) = (50.9082, -64.0744)
471: (x, y) = (53.7761, -59.9787)
472: (x, y) = (57.4329, -56.5687)
473: (x, y) = (58.2151, -51.6302)
474: (x, y) = (54.8694, -55.3459)
475: (x, y) = (54.4336, -60.3269)
476: (x, y) = (50.8369, -63.8002)
477: (x, y) = (47.8279, -59.807)
478: (x, y) = (50.7668, -55.762)
479: (x, y) = (50.5051, -50.7688)
480: (x, y) = (50.3306, -45.7719)
481: (x, y) = (53.4772, -49.6576)
482: (x, y) = (50.0039, -46.0609)
483: (x, y) = (46.2882, -49.4065)
484: (x, y) = (51.16, -50.5313)
485: (x, y) = (52.9519, -55.1992)
486: (x, y) = (54.8249, -59.8351)
487: (x, y) = (50.9392, -62.9817)
488: (x, y) = (46.946, -65.9908)
489: (x, y) = (49.1379, -61.4968)
490: (x, y) = (52.5479, -65.1536)
491: (x, y) = (49.0746, -61.5569)
492: (x, y) = (50.1993, -56.685)
493: (x, y) = (50.3738, -51.6881)
494: (x, y) = (54.9415, -53.7218)
495: (x, y) = (53.0685, -58.3577)
496: (x, y) = (57.2137, -55.5617)
497: (x, y) = (60.292, -51.6217)
498: (x, y) = (63.8887, -55.095)
499: (x, y) = (68.84, -55.7908)
500: (x, y) = (64.5542, -53.2156)
501: (x, y) = (69.2818, -54.8435)
502: (x, y) = (70.15, -59.7675)
503: (x, y) = (65.2593, -60.8071)
504: (x, y) = (67.6067, -56.3923)
505: (x, y) = (63.3664, -53.7427)
506: (x, y) = (67.6966, -56.2427)
507: (x, y) = (63.0606, -54.3697)
508: (x, y) = (63.4964, -59.3507)
509: (x, y) = (68.0641, -57.317)
510: (x, y) = (66.5191, -62.0723)
511: (x, y) = (71.4704, -61.3764)
512: (x, y) = (66.9389, -63.4895)
513: (x, y) = (65.8993, -68.3802)
514: (x, y) = (64.8597, -63.4895)
515: (x, y) = (59.9879, -64.6143)
516: (x, y) = (55.0639, -65.4825)
517: (x, y) = (54.7151, -70.4703)
518: (x, y) = (57.7934, -66.5303)
519: (x, y) = (58.5755, -71.4687)
520: (x, y) = (62.9486, -73.8928)
521: (x, y) = (60.299, -78.133)
522: (x, y) = (61.5931, -82.9626)
After 523 steps, the subject has the following location:
(x, y) = (61.5931, -82.9626)
 or
(m, a) = (103.327, -53.4091)
Average outward distance per step = 0.197566
